Time 	mean_delta_inf 	mean_S_exp_offspring 	mean_S_real_offspring 	mean_mean_real_transmission 
82000 	0.00063619051472159783 	0.00052623993719591936 	0.00063727811514972777 	-1.0876004273930387e-06 
84000 	0.00051372706847109843 	0.00057459731619166198 	0.00051382328000132698 	-9.6211530394134228e-08 
86000 	0.00058606716969959651 	0.00048977037709931808 	0.00058478094097926133 	1.2862287197393854e-06 
88000 	0.00052500143655957743 	0.00060448628786387152 	0.0005181002044028079 	6.9012321571292256e-06 
90000 	0.00059728333981473722 	0.00047305528565937046 	0.0005964663596707509 	8.1698014449464421e-07 
92000 	0.0003551784074407678 	0.00051478661538136993 	0.00035650162841990005 	-1.3232209794988565e-06 
94000 	0.00043208948025755234 	0.00067520878782799301 	0.00042587878848364142 	6.2106917735881596e-06 
96000 	0.00088139627057881858 	0.00084391340755475531 	0.00088443252049859398 	-3.0362499196265369e-06 
98000 	0.0010889452410842396 	0.0011980187331419839 	0.001088350199840468 	5.9504124409293563e-07 
100000 	0.00086777787624397009 	0.00079278559463651858 	0.00086798368753507771 	-2.0581129132301039e-07 
102000 	0.00075844062119091401 	0.00076959954946175413 	0.00075753175057268851 	9.0887061689779248e-07 
104000 	0.00056422937191430119 	0.0006992253211460383 	0.00056002126399564594 	4.2081079113631205e-06 
106000 	0.0011590481110041254 	0.0008751345939412811 	0.001161144889765095 	-2.096778752855491e-06 
108000 	0.00054546639557397471 	0.00064998344694023398 	0.00054770767703614495 	-2.2412814525630691e-06 
110000 	0.00078755399778595604 	0.00095388482258974437 	0.00078848984272848798 	-9.3584494934927753e-07 
112000 	0.00085269447335592475 	0.00071973205144472538 	0.00085062887972614455 	2.0655936273559377e-06 
114000 	0.00034990968463054629 	0.00030920802200570997 	0.00034500518305368328 	4.9045015772204339e-06 
116000 	0.00036276040400834122 	0.00058889446066818444 	0.00036382480243875076 	-1.0643984301884362e-06 
118000 	0.00046938260818694743 	0.00033046423289128627 	0.00046854313830869943 	8.3946987739399829e-07 
120000 	0.00053240217777756986 	0.00044593641739415989 	0.00053009900842773444 	2.3031693491293152e-06 
122000 	0.00046054211971872407 	0.00042468423267128625 	0.00045901722903366252 	1.5248906852759978e-06 
124000 	0.00045233057816101052 	0.00031922183821105955 	0.00045031199730735677 	2.018580854022378e-06 
126000 	0.00068387187603035217 	0.00073993734416038875 	0.00068328148166510927 	5.9039436560744119e-07 
128000 	0.00048820565545764792 	0.00063133677870323343 	0.00049205694621228663 	-3.8512907573341978e-06 
130000 	0.0003813444411989053 	0.00050505780398766816 	0.00037948978786806788 	1.8546533331887541e-06 
132000 	0.00093756256343077379 	0.00064692425464197212 	0.00094093905980379854 	-3.3764963725547428e-06 
134000 	0.00058070300420902756 	0.00049286098457208588 	0.00058377607635311799 	-3.0730721697959679e-06 
136000 	0.00053454956973021694 	0.00044619813447611143 	0.00052843951503975543 	6.1100547104403398e-06 
138000 	0.00048068353814214503 	0.00047801787776069558 	0.00048133155608314404 	-6.4801793518904116e-07 
140000 	0.00030045810935405373 	0.00027840585879269051 	0.00030165400194593679 	-1.1958925921698874e-06 
142000 	0.0004298434156749096 	0.0004025057108235226 	0.00042928437984875872 	5.5903582595286453e-07 
144000 	0.00046624615950740633 	0.00036569807345631603 	0.00046532533313837425 	9.2082636925804867e-07 
146000 	0.00038971802419520427 	0.00034347839998017391 	0.00039231650467984514 	-2.5984804851393835e-06 
148000 	0.00085184567981073651 	0.0006240560415687543 	0.00084398645626634244 	7.8592235449950917e-06 
150000 	0.00067150614784439709 	0.00076201575896528678 	0.00066929256085747552 	2.2135869877578673e-06 
152000 	0.00075299273044825555 	0.00072649239149656262 	0.00075481954446662239 	-1.8268140221409936e-06 
154000 	0.00039793773043496117 	0.00036614785109823149 	0.00039607828472890198 	1.8594457085849107e-06 
